db,model,auc
abalone-19_vs_10-11-12-13,manhattanBRM,0.45103324348607365
abalone-19_vs_10-11-12-13,cosineBRM,0.40026954177897567
abalone-19_vs_10-11-12-13,chebyshevBRM,0.3953279424977538
abalone-17_vs_7-8-9-10,BRM,0.16593567251461988
abalone-17_vs_7-8-9-10,GMM,0.5888157894736843
abalone-17_vs_7-8-9-10,ISOF,0.4331140350877193
abalone-17_vs_7-8-9-10,OCSVM,0.48684210526315785
abalone-17_vs_7-8-9-10,manhattanBRM,0.16922514619883042
abalone-17_vs_7-8-9-10,cosineBRM,0.15497076023391815
abalone-17_vs_7-8-9-10,chebyshevBRM,0.18877923976608188
poker-8_vs_6,BRM,0.19606164383561647
poker-8_vs_6,GMM,0.2928082191780822
poker-8_vs_6,ISOF,0.6044520547945206
poker-8_vs_6,OCSVM,0.654109589041096
poker-8_vs_6,manhattanBRM,0.199486301369863
poker-8_vs_6,cosineBRM,0.5231164383561644
poker-8_vs_6,chebyshevBRM,0.17851027397260277
pimaImb,BRM,0.28296296296296297
pimaImb,GMM,0.4935185185185186
pimaImb,ISOF,0.44814814814814813
pimaImb,OCSVM,0.30240740740740746
pimaImb,manhattanBRM,0.2974074074074074
pimaImb,cosineBRM,0.5109259259259259
pimaImb,chebyshevBRM,0.27944444444444444
new-thyroid1,BRM,0.23015873015873015
new-thyroid1,GMM,0.3611111111111111
new-thyroid1,ISOF,0.48214285714285715
new-thyroid1,OCSVM,0.25
new-thyroid1,manhattanBRM,0.3055555555555556
new-thyroid1,cosineBRM,0.27380952380952384
new-thyroid1,chebyshevBRM,0.20238095238095238
lymphography-normal-fibrosis,BRM,0.0
lymphography-normal-fibrosis,GMM,0.4642857142857143
lymphography-normal-fibrosis,ISOF,0.25
lymphography-normal-fibrosis,OCSVM,0.3035714285714286
lymphography-normal-fibrosis,manhattanBRM,0.0
lymphography-normal-fibrosis,cosineBRM,0.0
lymphography-normal-fibrosis,chebyshevBRM,0.5
poker-8-9_vs_5,BRM,0.2809756097560976
poker-8-9_vs_5,GMM,0.45487804878048776
poker-8-9_vs_5,ISOF,0.48902439024390243
poker-8-9_vs_5,OCSVM,0.5475609756097561
poker-8-9_vs_5,manhattanBRM,0.28439024390243905
poker-8-9_vs_5,cosineBRM,0.4580487804878049
poker-8-9_vs_5,chebyshevBRM,0.2990243902439025
poker-8-9_vs_6,BRM,0.3171232876712329
poker-8-9_vs_6,GMM,0.5106164383561644
poker-8-9_vs_6,ISOF,0.5811643835616438
poker-8-9_vs_6,OCSVM,0.5671232876712329
poker-8-9_vs_6,manhattanBRM,0.4506849315068493
poker-8-9_vs_6,cosineBRM,0.558904109589041
poker-8-9_vs_6,chebyshevBRM,0.16506849315068498
page-blocks-1-3_vs_4,BRM,0.3389513108614232
page-blocks-1-3_vs_4,GMM,0.5
page-blocks-1-3_vs_4,ISOF,0.28370786516853935
page-blocks-1-3_vs_4,OCSVM,0.37453183520599254
page-blocks-1-3_vs_4,manhattanBRM,0.3333333333333333
page-blocks-1-3_vs_4,cosineBRM,0.3389513108614232
page-blocks-1-3_vs_4,chebyshevBRM,0.3258426966292135
poker-9_vs_7,BRM,0.021276595744680826
poker-9_vs_7,GMM,0.4787234042553192
poker-9_vs_7,ISOF,0.43617021276595747
poker-9_vs_7,OCSVM,0.17021276595744683
poker-9_vs_7,manhattanBRM,0.010638297872340441
poker-9_vs_7,cosineBRM,0.2446808510638298
poker-9_vs_7,chebyshevBRM,0.010638297872340441
new-thyroid2,BRM,0.07142857142857144
new-thyroid2,GMM,0.4166666666666667
new-thyroid2,ISOF,0.21230158730158727
new-thyroid2,OCSVM,0.2797619047619047
new-thyroid2,manhattanBRM,0.09920634920634921
new-thyroid2,cosineBRM,0.0992063492063492
new-thyroid2,chebyshevBRM,0.05555555555555555
page-blocks0,BRM,0.33880431623310564
page-blocks0,GMM,0.5
page-blocks0,ISOF,0.30346243278593227
page-blocks0,OCSVM,0.3350167126871094
page-blocks0,manhattanBRM,0.37272017148670245
page-blocks0,cosineBRM,0.28602310710652523
page-blocks0,chebyshevBRM,0.3278956547013515
